stable_player_id,player_name,affl_team,"primary_future_position (engine, reference)",alternate_position (AT MOST ONE — leave blank if none),p_dual_stream % (chance the future state is PRIMARY/ALTERNATE dual; blank = 0 = pure primary),notes (optional)
afl-player-v1-1df9ecb7c033ae7646a4,Jack Carroll,Adelaide Crows,G-DEF,,,
afl-player-v1-868ea8f767a946d70917,Jaspa Fletcher,Adelaide Crows,G-DEF,,,
afl-player-v1-61b3ccb5ea59c4851445,Jordan Ridley,Adelaide Crows,G-DEF,K-DEF,20%,
afl-player-v1-5609057abdfa7ac6b0b7,Lachlan Jones,Adelaide Crows,G-DEF,,,
afl-player-v1-7c293250cf8dbc3b45e4,Liam Duggan,Adelaide Crows,G-DEF,,,
afl-player-v1-5c3ac2d1c84ea9110fe4,Oscar Ryan,Adelaide Crows,G-DEF,,,
afl-player-v1-cf1d0b8f5a720a46c06a,Ryan Byrnes,Adelaide Crows,G-DEF,,,
afl-player-v1-f6c1419e3347c583c2bb,Wil Powell,Adelaide Crows,G-DEF,,,
afl-player-v1-10478fc6854d4a00ac91,Connor Budarick,Brisbane Lions,G-DEF,,,
afl-player-v1-95c0c5cff3419f06f68d,Conor Stone,Brisbane Lions,G-DEF,,,
afl-player-v1-7d2a459ea2ec881ee4e0,Dane Rampe,Brisbane Lions,G-DEF,,,
afl-player-v1-4a32b31ca8fd0f3e2ff3,Flynn Perez,Brisbane Lions,G-DEF,,,
afl-player-v1-0a0fa0c58c2f8c6d7bb4,Harry Perryman,Brisbane Lions,G-DEF,,,
afl-player-v1-21e9cb1ab2cba05f6b3b,Isaac Quaynor,Brisbane Lions,G-DEF,,,
afl-player-v1-d246c05d619c36492dce,Josh Daicos,Brisbane Lions,G-DEF,,,
afl-player-v1-b9731120bd8796d03337,Mark O'Connor,Brisbane Lions,G-DEF,,,
afl-player-v1-219cd64a18526bc82a23,Michael Sellwood,Brisbane Lions,G-DEF,,,
afl-player-v1-f822e70b2df2c17d0328,Miles Bergman,Brisbane Lions,G-DEF,,,
afl-player-v1-c399795725e17c13dffb,Angus Clarke,Carlton Blues,G-DEF,,,
afl-player-v1-057315d23e7e0bf3c26f,Finnegan Davis,Carlton Blues,G-DEF,,,
afl-player-v1-5b86577d1ec0d6159e9c,Liam Baker,Carlton Blues,G-DEF,,,
afl-player-v1-2f116f7f4f97a6bf192a,Matthew Roberts,Carlton Blues,G-DEF,,,
afl-player-v1-0a868f1cf4977fe59a3d,Max Michalanney,Carlton Blues,G-DEF,,,
afl-player-v1-7448a1c18180c1de59e0,Sam Banks,Carlton Blues,G-DEF,,,
afl-player-v1-ee139bbbe6a42b1463b1,Tom Brown,Carlton Blues,G-DEF,,,
afl-player-v1-2bb1c4575ccd8c7ba202,Bailey Williams,Collingwood Magpies,G-DEF,,,
afl-player-v1-2c0d507e861806b4e2b5,Bodie Ryan,Collingwood Magpies,G-DEF,,,
afl-player-v1-be6280152eab06a384a7,Callum Mills,Collingwood Magpies,G-DEF,,,
afl-player-v1-2ba9319113f47277fa21,Daniel Rioli,Collingwood Magpies,G-DEF,,,
afl-player-v1-ae0417d08a6405bbceeb,Hugo Hall-Kahan,Collingwood Magpies,G-DEF,,,
afl-player-v1-5283bc8e85b412262bbf,Jarman Impey,Collingwood Magpies,G-DEF,,,
afl-player-v1-b2c51a63fc373bb833ac,Koltyn Tholstrup,Collingwood Magpies,G-DEF,,,
afl-player-v1-76808420035e6a8b6706,Mason Redman,Collingwood Magpies,G-DEF,,,
afl-player-v1-caac261627e427ecf9de,Mitchell Hinge,Collingwood Magpies,G-DEF,,,
afl-player-v1-b256e4d9e5432a4e53a4,Nick Blakey,Collingwood Magpies,G-DEF,,,
afl-player-v1-937133d2dc41d511ffe3,Riley Bice,Collingwood Magpies,G-DEF,,,
afl-player-v1-fb132efc63e911fae6c0,Sam Wicks,Collingwood Magpies,G-DEF,,,
afl-player-v1-52bf1280cafc930a8d62,Blake Howes,Essendon Bombers,G-DEF,,,
afl-player-v1-819de384d7f62bc800da,Brady Hough,Essendon Bombers,G-DEF,,,
afl-player-v1-f0d7b341f83d6023fd8b,Braeden Campbell,Essendon Bombers,G-DEF,G-FWD,50%,
afl-player-v1-62df7ec27dcdcd499eae,Jack Scrimshaw,Essendon Bombers,G-DEF,K-DEF,20%,
afl-player-v1-72c1c11700fc61dae98d,Jase Burgoyne,Essendon Bombers,G-DEF,,,
afl-player-v1-2c24e6846a509ffa12da,Josh Sinn,Essendon Bombers,G-DEF,,,
afl-player-v1-286f534d3d1cc573c098,Kane Farrell,Essendon Bombers,G-DEF,,,
afl-player-v1-33ada8ecaa565e9336c2,Lachlan Cowan,Essendon Bombers,G-DEF,,,
afl-player-v1-a91d721458a8af9477df,Marcus Herbert,Essendon Bombers,G-DEF,,,
afl-player-v1-328187a2e40f373c2a1e,Shadeau Brain,Essendon Bombers,G-DEF,,,
afl-player-v1-da036863cc3d8fb50812,Liam Stocker,Free Agents,G-DEF,,,
afl-player-v1-1717ec616a9d2f0c642e,Balyn O'Brien,Free agents,G-DEF,,,
afl-player-v1-60a82e89999eaca19d3f,Cillian Bourke,Free agents,G-DEF,,,
afl-player-v1-bf5bd9012e153d04a9fe,Harry Cunningham,Free agents,G-DEF,,,
afl-player-v1-172a23aaaf49ddf78e1e,Jackson Archer,Free agents,G-DEF,,,
afl-player-v1-1c1037a91ecab97d410e,Jayden Nguyen,Free agents,G-DEF,G-FWD,30%,
afl-player-v1-8da0b1455f76a2e2df9c,Jed Bews,Free agents,G-DEF,,,
afl-player-v1-a78d615765af7770ab64,Jordan Boyd,Free agents,G-DEF,,,
afl-player-v1-795949415910bcec10bd,Kaleb Smith,Free agents,G-DEF,,,
afl-player-v1-21df79235229950b18dc,Keighton Matofai-Forbes,Free agents,G-DEF,,,
afl-player-v1-3a8550ac8af5ca190c13,Rob Monahan,Free agents,G-DEF,,,
afl-player-v1-b3b7c6ccc9df2c916e34,Tom Doedee,Free agents,G-DEF,K-DEF,20%,
afl-player-v1-8ed1d0f2e2b3a1d83438,Zac Walker,Free agents,G-DEF,K-DEF,50%,
afl-player-v1-582c17fa8f38599ba36e,Harry Kyle,Fremantle Dockers,G-DEF,,,
afl-player-v1-6d1deb54da85de9023d2,Hugh Bond,Fremantle Dockers,G-DEF,,,
afl-player-v1-75c7189cf23a00883ccc,Jacob Farrow,Fremantle Dockers,G-DEF,,,
afl-player-v1-82c7e8f494607c184f2b,Jaxon Prior,Fremantle Dockers,G-DEF,,,
afl-player-v1-48fb2da2b909a8256894,Josh Lai,Fremantle Dockers,G-DEF,,,
afl-player-v1-6864d3b68960de314967,Zeke Uwland,Fremantle Dockers,MID,G-DEF,60%,
afl-player-v1-fd3e3de35948b76d59d1,Adam Saad,Geelong Cats,G-DEF,,,
afl-player-v1-569acef3f5da1997d202,Andrew McGrath,Geelong Cats,G-DEF,,,
afl-player-v1-bfc840f8e0f59fc24641,Bailey Dale,Geelong Cats,G-DEF,,,
afl-player-v1-544ddb3b212cf0e7013e,Jacob Wehr,Geelong Cats,G-DEF,,,
afl-player-v1-797837193a7c4b847d81,Jake Lloyd,Geelong Cats,G-DEF,G-FWD,50%,
afl-player-v1-4bfcacf82a0d776c2ea4,James Sicily,Geelong Cats,G-DEF,K-DEF,20%,
afl-player-v1-5550d94242e784ca1c3d,Lawson Humphries,Geelong Cats,G-DEF,,,
afl-player-v1-a934cbd848b889e3b90a,Luke McDonald,Geelong Cats,G-DEF,,,
afl-player-v1-46e08b85a52fdc2973b1,Mitch McGovern,Geelong Cats,G-DEF,G-FWD,50%,
afl-player-v1-26ff1ee55b317fca0c0f,Oisin Mullin,Geelong Cats,G-DEF,,,
afl-player-v1-5427cd4da7218df98938,Zach Guthrie,Geelong Cats,G-DEF,,,
afl-player-v1-bc6b9ef5332c2f4e8715,Darcy Wilmot,Hawthorn Hawks,G-DEF,,,
afl-player-v1-ea8470a13f4aadb5fc4d,Eamonn Armstrong,Hawthorn Hawks,G-DEF,,,
afl-player-v1-46e176b1e1cb8cf2276c,Harrison Oliver,Hawthorn Hawks,G-DEF,,,
afl-player-v1-7a99659c90e0a5eab680,Hunter Clark,Hawthorn Hawks,G-DEF,,,
afl-player-v1-256b99e7e6b4972abca7,Indy Cotton,Hawthorn Hawks,G-DEF,,,
afl-player-v1-51c8b895f8ffb72116a6,James Leake,Hawthorn Hawks,G-DEF,,,
afl-player-v1-690c8a0df50927412d20,Jaxon Artemis,Hawthorn Hawks,G-DEF,,,
afl-player-v1-59d17c24985ebc3eea8b,Josh Goater,Hawthorn Hawks,G-DEF,,,
afl-player-v1-c4d9086a24b07776bf5c,Kobe McDonald,Hawthorn Hawks,G-DEF,,,
afl-player-v1-b2ae5922a33d3679421d,Lachlan Carmichael,Hawthorn Hawks,G-DEF,,,
afl-player-v1-770aaa73c350c53af8f8,Max Kondogiannis,Hawthorn Hawks,G-DEF,,,
afl-player-v1-a73efb3e3e613ef91d32,Oskar Taylor,Hawthorn Hawks,G-DEF,,,
afl-player-v1-f1d2fecc3caa09a5302a,Tew Jiath,Hawthorn Hawks,G-DEF,,,
afl-player-v1-4a22ace5803958977c40,Avery Thomas,Melbourne Demons,G-DEF,,,
afl-player-v1-2dd3ccd0e1b4dff6e11a,Bo Allan,Melbourne Demons,G-DEF,,,
afl-player-v1-569d8308f325f3ed09a1,Brandon Starcevich,Melbourne Demons,G-DEF,,,
afl-player-v1-0240af654fa3bcbf3f1e,Dylan Patterson,Melbourne Demons,G-DEF,,,
afl-player-v1-66178e03f3831016945b,Harvey Johnston,Melbourne Demons,G-DEF,,,
afl-player-v1-a38daae79d1b591ef623,Keidean Coleman,Melbourne Demons,G-DEF,,,
afl-player-v1-73f8a199b2442c4ea5e5,Lachie Jaques,Melbourne Demons,G-DEF,,,
afl-player-v1-ce22c3da857dc9f69e14,Lachlan Ash,Melbourne Demons,G-DEF,,,
afl-player-v1-d6bfe6d5d7c7622aa16c,Lucca Grego,Melbourne Demons,G-DEF,,,
afl-player-v1-27b92ed0b5135eaec321,Oscar Adams,Melbourne Demons,G-DEF,,,
afl-player-v1-fd58640c5c54f6f75fdf,Tobie Travaglia,Melbourne Demons,G-DEF,,,
afl-player-v1-f6b273b240ecc1e56ea8,Tom McCarthy,Melbourne Demons,G-DEF,,,
afl-player-v1-c239986e76a611a9b0a9,Tyrell Dewar,Melbourne Demons,G-DEF,,,
afl-player-v1-fc90df145520acd22b04,Ben Murphy,North Melbourne Kangaroos,G-DEF,,,
afl-player-v1-d6d2fe7a40a3a6ef7cf0,Brayden Maynard,North Melbourne Kangaroos,G-DEF,K-DEF,25%,
afl-player-v1-46b344bd8a10773aecd3,Connor Idun,North Melbourne Kangaroos,G-DEF,,,
afl-player-v1-a67aba23e14cd5a96bd3,Harry Charleson,North Melbourne Kangaroos,G-DEF,,,
afl-player-v1-a755ba66278640abe3f4,Isaac Cumming,North Melbourne Kangaroos,G-DEF,,,
afl-player-v1-4dc82d0e8a055ba08cbe,Jai Serong,North Melbourne Kangaroos,G-DEF,K-DEF,20%,
afl-player-v1-9434d7c5b43141a33554,Joel Jeffrey,North Melbourne Kangaroos,G-DEF,,,
afl-player-v1-5935f9e7d1d2e5bc6004,Karl Worner,North Melbourne Kangaroos,G-DEF,,,
afl-player-v1-98d4447a6c6e8af946e8,Lachie Whitfield,North Melbourne Kangaroos,G-DEF,,,
afl-player-v1-58bbb663005700d953dd,Luke Parker,North Melbourne Kangaroos,G-DEF,,,
afl-player-v1-9186b21cf6ec11f9140a,Matt Duffy,North Melbourne Kangaroos,G-DEF,,,
afl-player-v1-e3e6c7a99658440d99ac,Rory Laird,North Melbourne Kangaroos,G-DEF,,,
afl-player-v1-6de2114eafbe620e3fd5,Saad El-Hawli,North Melbourne Kangaroos,G-DEF,,,
afl-player-v1-2d0be16a32b077bf822a,Blake Hardwick,Port Adelaide Power,G-DEF,G-FWD,35%,
afl-player-v1-53cf9ea07c8d23470b27,Bodhi Uwland,Port Adelaide Power,G-DEF,,,
afl-player-v1-e36fc9a752bdb05af645,Brandon Walker,Port Adelaide Power,G-DEF,,,
afl-player-v1-f3b426662b256de4c7a8,Caleb Daniel,Port Adelaide Power,G-DEF,,,
afl-player-v1-0f7806fb9aa246ac2b53,Christian Salem,Port Adelaide Power,G-DEF,,,
afl-player-v1-a8a7e455c41a52501435,Cillian Burke,Port Adelaide Power,G-DEF,,,
afl-player-v1-f2d3605fc71d7aa8d371,Darcy Byrne-Jones,Port Adelaide Power,G-DEF,G-FWD,40%,
afl-player-v1-492319f4c76dbc13ba1a,Dayne Zorko,Port Adelaide Power,G-DEF,,,
afl-player-v1-efc436310b95720f2faf,Jack Sinclair,Port Adelaide Power,G-DEF,,,
afl-player-v1-98002cba10c19c2ef4bf,Jayden Short,Port Adelaide Power,G-DEF,,,
afl-player-v1-f5e39356680d53f4d27a,Jeremy Howe,Port Adelaide Power,G-DEF,K-DEF,35%,
afl-player-v1-c746361adb86ff960c48,Thomas Stewart,Port Adelaide Power,G-DEF,,,
afl-player-v1-c3ab45a033553100f573,Tom Cole,Port Adelaide Power,G-DEF,G-FWD,50%,
afl-player-v1-451ddd8089a5671d27bd,Angus Hastie,Richmond Tigers,G-DEF,,,
afl-player-v1-ed04080f429f90809986,Cooper Simpson,Richmond Tigers,G-DEF,,,
afl-player-v1-eff4af4d6dc326bd2039,Harvey Gallagher,Richmond Tigers,G-DEF,,,
afl-player-v1-d4e9bfd1ee9ae1c72370,Joshua Weddle,Richmond Tigers,G-DEF,,,
afl-player-v1-1ae7e43e112521438bbe,Judd McVee,Richmond Tigers,G-DEF,,,
afl-player-v1-5ee1939ad38f451c9839,Nathan Broad,Richmond Tigers,G-DEF,,,
afl-player-v1-4af5ff1d6c0a57d3f39a,Tom Blamires,Richmond Tigers,G-DEF,,,
afl-player-v1-1f09c43ab0e1bffce94e,Xavier Taylor,Richmond Tigers,G-DEF,,,
afl-player-v1-d279ab89fc8d4fe8bde1,Zak Johnson,Richmond Tigers,G-DEF,,,
afl-player-v1-0f0c9d6196abee42b21e,Archie Roberts,St Kilda Saints,MID,G-DEF,70%,
afl-player-v1-32fef89bc6c5dfeda8b7,Bailey Banfield,St Kilda Saints,G-DEF,,,
afl-player-v1-e415df5077f164469cba,Dan Houston,St Kilda Saints,G-DEF,,,
afl-player-v1-59002dc8321ccdf21bfa,Joseph Fonti,St Kilda Saints,G-DEF,,,
afl-player-v1-527601186c70f68adedc,Josh Lindsay,St Kilda Saints,G-DEF,,,
afl-player-v1-3187acc6533265eee936,Karl Amon,St Kilda Saints,G-DEF,,,
afl-player-v1-90ebece285dc4910fe5d,Lennox Hoffman,St Kilda Saints,G-DEF,,,
afl-player-v1-3748d2d5901b55897f63,Nick Vlastuin,St Kilda Saints,G-DEF,,,
afl-player-v1-49df55e41314f434839b,Noah Answerth,St Kilda Saints,G-DEF,,,
afl-player-v1-c429049c86bb22e10b9a,Zachary Williams,St Kilda Saints,G-DEF,G-FWD,50%,
afl-player-v1-b863559cd3b5b300ab3e,Corey Wagner,Sydney Swans,G-DEF,,,
afl-player-v1-aa4d5b1969d471186a49,Ed Langdon,Sydney Swans,G-DEF,,,
afl-player-v1-0297bfd91767586dc86b,Harrison Himmelberg,Sydney Swans,G-DEF,,,
afl-player-v1-c64255f0f57e31279cb2,Heath Chapman,Sydney Swans,G-DEF,,,
afl-player-v1-a9a8e85ed38f1ce4e94f,John Noble,Sydney Swans,G-DEF,,,
afl-player-v1-176755335d1a57e4c462,Logan Evans,Sydney Swans,G-DEF,,,
afl-player-v1-a03a3c7f3924fa68f09e,Luke Cleary,Sydney Swans,G-DEF,,,
afl-player-v1-677d6d582c6d7170a62f,Oliver Florent,Sydney Swans,G-DEF,,,
afl-player-v1-145cb006483d7dd50196,Oliver Hollands,Sydney Swans,G-DEF,,,
afl-player-v1-f292ff8cfcb27ae2b30a,Riley Hardeman,Sydney Swans,G-DEF,,,
afl-player-v1-c45c54f44f4a8a49409b,Wayne Milera,Sydney Swans,G-DEF,,,
afl-player-v1-43dcbfbd3dd8420f2e63,Andy Moniz-Wakefield,West Coast Eagles,G-DEF,,,
afl-player-v1-e0445624468b8061dc74,Jake Bowey,West Coast Eagles,G-DEF,,,
afl-player-v1-fbd777b8ce2afc23740b,Jakob Ryan,West Coast Eagles,G-DEF,,,
afl-player-v1-c23c541c8c5162167ffa,Jordan Clark,West Coast Eagles,G-DEF,,,
afl-player-v1-248c051e7df555f47a45,Josh Worrell,West Coast Eagles,G-DEF,K-DEF,25%,
afl-player-v1-8699d0ef02651920ee05,Liam O'Connell,West Coast Eagles,G-DEF,,,
afl-player-v1-e3408506362c67321cf8,Luke Ryan,West Coast Eagles,G-DEF,,,
afl-player-v1-e00ed08737cf8ea26baa,Nic Newman,West Coast Eagles,G-DEF,,,
afl-player-v1-72cf2a6d4a4c62d627af,Nicholas Coffield,West Coast Eagles,G-DEF,K-DEF,40%,
afl-player-v1-2df5772a1446de4f16bf,Nick Haynes,West Coast Eagles,G-DEF,,,
afl-player-v1-c65a1c9c023c7d79a8c1,Bailey Macdonald,Western Bulldogs,G-DEF,,,
afl-player-v1-ba2b5f134d7209c2cd1f,Billy Wilson,Western Bulldogs,G-DEF,,,
afl-player-v1-0d58e3e7af08a0573883,Changkuoth Jiath,Western Bulldogs,G-DEF,,,
afl-player-v1-256b11412ad9adfde693,James Trezise,Western Bulldogs,G-DEF,,,
afl-player-v1-20a8e6ffe097f0b92cfc,Luke Nankervis,Western Bulldogs,G-DEF,,,
afl-player-v1-92c19d79435c34d4b286,Trent Rivers,Western Bulldogs,G-DEF,,,
afl-player-v1-bbc4fa1d66b431694808,Wil Parker,Western Bulldogs,G-DEF,,,
afl-player-v1-279d78b79a766963d4c9,Xavier Lindsay,Western Bulldogs,MID,G-DEF,50%,
afl-player-v1-bccb2c78d58984d7d91d,Archer Day-Wicks,Adelaide Crows,G-FWD,,,
afl-player-v1-6ed18956cf1378582d16,Arthur Jones,Adelaide Crows,G-FWD,,,
afl-player-v1-ab1876e3a4f81af563e6,Ben Keays,Adelaide Crows,G-FWD,,,
afl-player-v1-838375338eeaff603372,Jesse Motlop,Adelaide Crows,G-FWD,,,
afl-player-v1-9844fdd0a1778ebb896b,Joe Berry,Adelaide Crows,G-FWD,,,
afl-player-v1-760c6daa6af814bcb24b,Joe Richards,Adelaide Crows,G-FWD,,,
afl-player-v1-a632c601617e8e666e07,Lachlan Schultz,Adelaide Crows,G-FWD,,,
afl-player-v1-9643ed01b474bed53c3a,Sam Powell-Pepper,Adelaide Crows,G-FWD,,,
afl-player-v1-f5c68ed3e427786f2d4b,Will Hayward,Adelaide Crows,G-FWD,,,
afl-player-v1-f5edc99c62076d254cd1,Ben Ainsworth,Brisbane Lions,G-FWD,,,
afl-player-v1-8aeac02b34655edd2291,Gryan Miers,Brisbane Lions,G-FWD,,,
afl-player-v1-263e17ec5c383810e670,Harry Sharp,Brisbane Lions,G-FWD,,,
afl-player-v1-ab3fe74846e344f27891,Harvey Thomas,Brisbane Lions,MID,G-FWD,10%,
afl-player-v1-33736b48a197f2f1ba65,Jack Martin,Brisbane Lions,G-FWD,,,
afl-player-v1-321029a9a16b5cd19eb6,Jake Stringer,Brisbane Lions,G-FWD,K-FWD,30%,
afl-player-v1-0ecc742e1e4c4714661c,Jamie Elliott,Brisbane Lions,G-FWD,,,
afl-player-v1-7bf02b691759aa5668c1,Oliver Henry,Brisbane Lions,G-FWD,K-FWD,30%,
afl-player-v1-9593a2d2734002e0b1d5,Oskar Baker,Brisbane Lions,G-FWD,,,
afl-player-v1-8623aaa7eb9f7e2a20e4,Sam Davidson,Brisbane Lions,G-FWD,,,
afl-player-v1-d31ac1b67446aee6f5bc,Toby Bedford,Brisbane Lions,G-FWD,,,
afl-player-v1-c6c3067150262c510541,Caiden Cleary,Carlton Blues,G-FWD,MID,20%,
afl-player-v1-6cf314248b4dd9b0f32c,Isaiah Dudley,Carlton Blues,G-FWD,,,
afl-player-v1-62e44a2acaafb4a83a2f,Jasper Alger,Carlton Blues,G-FWD,,,
afl-player-v1-bba889f13399d9b9ee78,Max Beattie,Carlton Blues,G-FWD,,,
afl-player-v1-023276c69c07e6c60ab8,Noah Roberts-Thomson,Carlton Blues,G-FWD,,,
afl-player-v1-441ecf4754260c89227e,Thomas Burton,Carlton Blues,G-FWD,,,
afl-player-v1-00c3832708c5db482c28,Tom Powell,Carlton Blues,MID,G-FWD,50%,
afl-player-v1-9d46cc1ec1cb3092cfa7,Zane Peucker,Carlton Blues,G-FWD,,,
afl-player-v1-261fb8d2a929be14129f,Cody Weightman,Collingwood Magpies,G-FWD,,,
afl-player-v1-1eea9cd2a11b4840434b,Jacob Konstanty,Collingwood Magpies,G-FWD,,,
afl-player-v1-16877fb6b00199654e9e,Jesse Dattoli,Collingwood Magpies,G-FWD,,,
afl-player-v1-97d5d23540957cbe93f3,Judson Clarke,Collingwood Magpies,G-FWD,,,
afl-player-v1-6b568799ebc4bf88eb36,Kai Lohmann,Collingwood Magpies,G-FWD,,,
afl-player-v1-b98529f9eca3cbf471fd,Lachlan Bramble,Collingwood Magpies,G-FWD,,,
afl-player-v1-b742ee37ea9fdb64884a,Latrelle Pickett,Collingwood Magpies,G-FWD,,,
afl-player-v1-601df8b42b8a60750b20,Patrick Lipinski,Collingwood Magpies,G-FWD,,,
afl-player-v1-d72d04026b85e58dfc06,Billy Dowling,Essendon Bombers,G-FWD,,,
afl-player-v1-da6f8389b5a659e1eabe,Brent Daniels,Essendon Bombers,G-FWD,,,
afl-player-v1-5d34ee663f616a7fcf27,Darcy Jones,Essendon Bombers,G-FWD,,,
afl-player-v1-dc6b2cd7d48c8b4255bd,Elijah Hollands,Essendon Bombers,G-FWD,MID,20%,
afl-player-v1-d3f770bb1b952d27e053,Liam Henry,Essendon Bombers,G-FWD,,,
afl-player-v1-6eb4e78e45737f63df6e,Lincoln McCarthy,Essendon Bombers,G-FWD,,,
afl-player-v1-ae7cd4e5e53c5f32cdee,Luke Pedlar,Essendon Bombers,G-FWD,,,
afl-player-v1-5612c4af21b5a0e54a5c,Oliver Griffin,Essendon Bombers,G-FWD,,,
afl-player-v1-fa4da742489a33e816d0,Riley Garcia,Essendon Bombers,G-FWD,,,
afl-player-v1-278353acbb4f3993808e,Tom Cochrane,Essendon Bombers,G-FWD,,,
afl-player-v1-422fa02891468213fe42,Tyler Brockman,Free Agents,G-FWD,,,
afl-player-v1-18e32886c9bf159f469a,Asher Eastham,Free agents,G-FWD,,,
afl-player-v1-a5ad8398bbd215b116e2,Bailey Laurie,Free agents,G-FWD,,,
afl-player-v1-26c7d23e3f5fff92763f,Benny Barrett,Free agents,G-FWD,,,
afl-player-v1-2f6242ef54860fa75fb3,Cody Anderson,Free agents,G-FWD,,,
afl-player-v1-fd8f88cb7a251aba137f,Daniel Butler,Free agents,G-FWD,,,
afl-player-v1-b522f3a7cd0997e31b8f,Finn Maginness,Free agents,G-FWD,,,
afl-player-v1-1825e6bd6dbe8848dd4e,Flynn Young,Free agents,G-FWD,,,
afl-player-v1-53546ca55b1b441d4c86,Jack Henderson,Free agents,G-FWD,,,
afl-player-v1-ce944748c780cff96356,Jamie Cripps,Free agents,G-FWD,,,
afl-player-v1-baed67cf85334ee2b9d8,Koby Evans,Free agents,G-FWD,,,
afl-player-v1-0b95f7bd2062dce45d7e,Lachie Sullivan,Free agents,G-FWD,,,
afl-player-v1-d36af4e0c575a42a4a34,Lachlan Fogarty,Free agents,G-FWD,,,
afl-player-v1-4b9fabee253c2cb820fe,Lachlan McNeil,Free agents,G-FWD,,,
afl-player-v1-d7abc18c5d395b3a2c74,Laitham Vandermeer,Free agents,G-FWD,,,
afl-player-v1-6bdb2a468ec0c05a2248,Leon Kickett,Free agents,G-FWD,,,
afl-player-v1-1ce21cd3f5b5fbbc7ea5,Matt Guelfi,Free agents,G-FWD,,,
afl-player-v1-5990557d50150e6d1dc8,Matt Hill,Free agents,G-FWD,,,
afl-player-v1-ebdf837d2a23b1282f44,Matt Owies,Free agents,G-FWD,,,
afl-player-v1-658634afd21b318408dd,Ned Bowman,Free agents,G-FWD,,,
afl-player-v1-34a8a44afb07bd5a046d,Nicholas Holman,Free agents,G-FWD,,,
afl-player-v1-8bf1408a62bb7de9cf9f,Noah Long,Free agents,G-FWD,,,
afl-player-v1-f282c24b119aa18a481a,Patrick Said,Free agents,G-FWD,,,
afl-player-v1-c1c939d32cb20e307db2,Rhys Unwin,Free agents,G-FWD,,,
afl-player-v1-c13e1f14b2b069c3f78f,Riley Hamilton,Free agents,G-FWD,,,
afl-player-v1-e771eb4c731c953b5b51,River Stevens,Free agents,G-FWD,,,
afl-player-v1-18c64bc1a192b51aba1a,Ryda Luke,Free agents,G-FWD,,,
afl-player-v1-7d0919e8b1e6bb67a1a8,Sam Sturt,Free agents,G-FWD,,,
afl-player-v1-3fc4eb156cc43a803d65,Tom Anastasopoulos,Free agents,G-FWD,,,
afl-player-v1-c73511bdd0f0c794b14b,Will McLachlan,Free agents,G-FWD,,,
afl-player-v1-60766faf78e6bdf2be35,Zac Banch,Free agents,G-FWD,,,
afl-player-v1-6ff292e2d05fcf5981b5,Jack Dalton,Fremantle Dockers,G-FWD,,,
afl-player-v1-fd858670fdee0bfec2ff,Jack Ison,Fremantle Dockers,G-FWD,,,
afl-player-v1-6fa3c4b4bef1c733ff3e,Jay Polkinghorne,Fremantle Dockers,G-FWD,,,
afl-player-v1-9ad6dcd7a2e1ad357061,Jevan Phillipou,Fremantle Dockers,G-FWD,,,
afl-player-v1-d7dc302f0061f9c3a6a3,Josh Rachele,Fremantle Dockers,G-FWD,,,
afl-player-v1-c59fa0756ba5dab93e77,Lachy Dovaston,Fremantle Dockers,G-FWD,,,
afl-player-v1-a96ccbd720e3cb6dd786,Leo Lombard,Fremantle Dockers,G-FWD,,,
afl-player-v1-a7b458195fd4ad591d40,Murphy Reid,Fremantle Dockers,G-FWD,,,
afl-player-v1-232efdaede6c4306886a,Bayley Fritsch,Geelong Cats,G-FWD,K-FWD,20%,
afl-player-v1-003e4d5d62024af040e6,Bradley Close,Geelong Cats,G-FWD,,,
afl-player-v1-0b851ac82d1ffef7f781,Callum Ah Chee,Geelong Cats,G-FWD,,,
