name,grp,pick,n,ped_wt,Lc,par,lvl_ship,lvl_nopedigree,v_ship,v_nopedigree,ped_worth_SCAR,on_board
Archie Roberts,GEN_DEF,54,2,0.5,97.19,62.69,79.942,97.189,4386,5835,-1449,True
Josh Lindsay,GEN_DEF,19,1,0.75,74.3,59.24,63.002,74.3,1753,2956,-1203,True
Murphy Reid,GEN_FWD,17,2,0.5,81.56,57.66,69.61,81.557,3794,4793,-999,True
Hugo Garcia,MID,50,2,0.5,82.13,64.51,73.319,82.132,2107,3002,-895,True
Sam Darcy,KEY_FWD,2,2,0.5,86.06,63.24,74.647,86.057,3865,4745,-880,True
Mark Keane,KEY_DEF,92,2,0.5,77.45,62.57,70.006,77.447,1561,2393,-832,True
Lachlan McAndrew,RUC,92,1,0.75,87.1,53.59,61.965,87.1,1122,1952,-830,True
Max Hall,GEN_FWD,60,2,0.5,84.12,61.39,72.754,84.116,1855,2614,-759,True
Tom McCarthy,GEN_DEF,60,2,0.5,93.3,59.1,76.199,93.3,1535,2267,-732,True
Jacob Farrow,GEN_DEF,10,1,0.75,71.0,59.5,62.372,71.0,1731,2410,-679,True
Bodhi Uwland,GEN_DEF,92,3,0.25,88.12,67.68,83.01,88.118,3072,3725,-653,True
Jagga Smith,MID,3,1,0.75,79.0,70.09,72.314,79.0,3090,3694,-604,True
Ryley Sanders,MID,6,3,0.25,87.95,73.58,84.359,87.954,3960,4534,-574,True
Jordon Sweet,RUC,94,3,0.25,96.72,72.82,90.745,96.72,2052,2563,-511,True
Nick Watson,GEN_FWD,5,3,0.25,75.81,67.04,73.617,75.809,3581,4042,-461,True
Joel Freijah,MID,45,3,0.25,78.44,64.51,74.958,78.441,2224,2590,-366,True
Lawson Humphries,GEN_DEF,63,3,0.25,79.68,62.69,75.433,79.68,1751,2101,-350,True
Patrick Voss,KEY_FWD,70,2,0.5,66.72,61.46,64.09,66.725,1649,1952,-303,True
Sam Banks,GEN_DEF,29,2,0.5,72.5,67.68,70.094,72.503,928,1228,-300,True
Matthew Roberts,GEN_DEF,34,3,0.25,77.34,67.68,74.929,77.343,1676,1971,-295,True
Riley Bice,GEN_DEF,41,2,0.5,76.1,59.1,67.599,76.1,422,697,-275,True
Connor O'Sullivan,KEY_DEF,11,2,0.5,70.42,59.13,64.776,70.421,2786,3055,-269,True
Jase Burgoyne,GEN_DEF,60,3,0.25,79.98,67.68,76.903,79.976,1994,2261,-267,True
Cooper Trembath,KEY_FWD,60,1,0.75,60.16,55.11,56.374,60.165,1506,1767,-261,True
Oliver Hollands,GEN_DEF,11,3,0.25,72.41,67.91,71.285,72.408,1494,1745,-251,True
Logan Morris,KEY_FWD,31,3,0.25,67.98,58.95,65.721,67.978,3074,3323,-249,True
Darcy Jones,GEN_FWD,21,2,0.5,70.53,64.74,67.637,70.53,1517,1764,-247,True
Joel Jeffrey,GEN_DEF,30,3,0.25,80.55,68.41,77.515,80.55,1646,1892,-246,True
Darcy Wilson,GEN_FWD,18,3,0.25,73.38,63.76,70.978,73.383,2389,2631,-242,True
Harvey Thomas,GEN_FWD,59,3,0.25,73.18,61.39,70.233,73.18,2400,2610,-210,True
Clay Hall,MID,38,1,0.75,65.2,64.51,64.679,65.196,606,815,-209,True
Willem Duursma,MID,1,1,0.75,86.4,77.35,79.616,86.4,4339,4543,-204,True
Levi Ashcroft,MID,5,2,0.5,72.45,69.34,70.896,72.451,3097,3296,-199,True
Logan Evans,GEN_DEF,60,3,0.25,70.66,62.69,68.667,70.658,1242,1435,-193,True
Aaron Cadman,KEY_FWD,1,3,0.25,65.89,63.24,65.229,65.892,3006,3195,-189,True
Joseph Fonti,GEN_DEF,44,2,0.5,67.74,62.69,65.219,67.744,719,894,-175,True
Cooper Lord,MID,60,1,0.75,66.58,64.51,65.026,66.58,392,555,-163,True
Daniel Turner,KEY_DEF,60,3,0.25,70.4,64.38,68.895,70.398,1615,1769,-154,True
Tom Blamires,GEN_DEF,92,1,0.75,68.3,57.43,60.15,68.3,81,218,-137,True
Shannon Neale,KEY_FWD,35,3,0.25,71.44,64.95,69.82,71.442,2343,2472,-129,True
Milan Murdock,GEN_FWD,92,1,0.75,77.2,55.29,60.768,77.2,823,951,-128,True
George Wardlaw,MID,4,3,0.25,82.36,79.24,81.581,82.361,3061,3166,-105,True
Ollie Dempsey,MID,72,3,0.25,79.58,74.59,78.331,79.577,1740,1845,-105,True
Zach Reid,KEY_DEF,10,2,0.5,67.52,64.38,65.954,67.525,1633,1727,-94,True
Joe Richards,GEN_FWD,48,2,0.5,75.01,63.27,69.14,75.011,832,924,-92,True
Massimo D'Ambrosio,MID,60,3,0.25,77.79,74.59,76.988,77.787,1744,1821,-77,True
Shaun Mannagh,GEN_FWD,36,3,0.25,76.7,61.39,72.87,76.696,519,577,-58,True
Jobe Shanahan,KEY_FWD,30,1,0.75,56.25,55.7,55.834,56.245,1606,1657,-51,True
Hayden Young,MID,7,3,0.25,89.56,85.94,88.655,89.558,2612,2661,-49,True
Angus Clarke,GEN_DEF,39,1,0.75,59.0,59.1,59.073,59.0,761,803,-42,True
Karl Worner,GEN_DEF,69,2,0.5,69.3,67.68,68.493,69.302,589,623,-34,True
Ryan Maric,MID,60,3,0.25,71.0,69.22,70.554,70.998,1231,1263,-32,True
Sam Davidson,GEN_FWD,51,1,0.75,56.83,55.29,55.675,56.827,87,118,-31,True
Tylar Young,KEY_DEF,69,2,0.5,63.81,62.57,63.186,63.807,91,121,-30,True
Seth Campbell,GEN_FWD,62,3,0.25,67.4,63.27,66.371,67.404,1027,1056,-29,True
Finn O'Sullivan,MID,2,1,0.75,73.74,73.3,73.408,73.742,3527,3549,-22,True
Colby McKercher,MID,2,3,0.25,80.8,77.73,80.031,80.797,3672,3693,-21,True
Will Graham,GEN_FWD,26,2,0.5,60.77,61.39,61.081,60.771,1151,1172,-21,True
Matthew Flynn,RUC,41,3,0.25,77.86,73.31,76.723,77.861,693,710,-17,True
Sam Clohesy,MID,67,2,0.5,64.47,64.51,64.487,64.475,233,239,-6,True
Nathan O'Driscoll,MID,28,3,0.25,72.84,78.65,73.382,72.843,951,957,-6,True
Matt Carroll,MID,72,2,0.5,64.13,64.51,64.271,64.127,945,950,-5,True
Blake Howes,GEN_DEF,39,3,0.25,61.79,67.68,62.432,61.787,318,323,-5,True
Ewan Mackinlay,GEN_FWD,60,1,0.75,54.97,55.29,55.212,54.974,41,44,-3,True
James Blanck,KEY_DEF,60,1,0.75,36.86,62.57,49.941,36.858,8,10,-2,True
Harrison Jones,KEY_FWD,30,3,0.25,47.8,64.98,48.972,47.796,113,115,-2,True
Ned Reeves,RUC,92,3,0.25,69.9,72.82,70.224,69.904,373,375,-2,True
Bruce Reville,MID,92,3,0.25,60.97,64.51,61.637,60.974,64,65,-1,True
Charlie Comben,KEY_DEF,31,3,0.25,64.96,64.38,64.819,64.964,728,729,-1,True
Phoenix Gothard,GEN_FWD,12,1,0.75,70.2,65.75,66.861,70.2,415,415,0,True
Koltyn Tholstrup,GEN_DEF,13,2,0.5,63.62,64.76,64.047,63.621,1378,1378,0,True
Lachie Sullivan,GEN_FWD,92,2,0.5,46.16,61.39,52.97,46.158,1,1,0,True
Harvey Gallagher,GEN_DEF,39,1,0.75,39.98,65.85,52.917,39.983,135,135,0,True
Judson Clarke,GEN_FWD,30,1,0.75,37.42,66.1,54.035,37.422,90,90,0,True
Jai Serong,GEN_DEF,53,1,0.75,74.9,67.68,69.489,74.904,117,117,0,True
Oisin Mullin,GEN_DEF,92,3,0.25,53.36,67.68,54.254,53.359,11,11,0,True
Luke Pedlar,GEN_FWD,11,2,0.5,44.95,72.67,49.11,44.952,140,140,0,True
Liam Henry,GEN_FWD,9,3,0.25,47.84,72.67,50.868,47.841,83,83,0,True
Brodie Kemp,KEY_FWD,17,3,0.25,63.86,64.98,63.935,63.862,823,823,0,True
Harry Schoenberg,MID,24,3,0.25,47.13,80.16,48.8,47.129,55,55,0,True
Sam Sturt,GEN_FWD,17,2,0.5,50.69,69.39,57.084,50.692,54,54,0,True
Darcy Fort,RUC,65,3,0.25,74.27,72.82,73.911,74.274,82,82,0,True
Callum M. Brown,GEN_FWD,92,3,0.25,53.42,67.02,54.456,53.415,16,16,0,True
Buku Khamis,KEY_DEF,92,3,0.25,54.4,64.38,55.497,54.402,75,75,0,True
Nicholas Coffield,GEN_DEF,8,3,0.25,59.9,70.47,60.863,59.895,52,52,0,True
Oskar Baker,GEN_FWD,48,1,0.75,54.49,67.02,59.103,54.487,31,31,0,True
Will Brodie,MID,9,1,0.75,68.94,85.83,76.076,68.939,1022,1022,0,True
Ryan Gardner,KEY_DEF,58,3,0.25,40.53,64.38,44.15,40.53,33,33,0,True
Jy Farrar,KEY_FWD,60,2,0.5,51.35,64.39,54.455,51.349,28,27,1,True
Connor Budarick,GEN_DEF,76,3,0.25,63.91,68.41,64.153,63.912,154,153,1,True
Lewis Young,KEY_DEF,49,3,0.25,60.05,64.38,60.397,60.053,175,174,1,True
Isaiah Dudley,GEN_FWD,92,2,0.5,52.12,55.29,53.705,52.119,83,81,2,True
Jordan Boyd,GEN_DEF,60,1,0.75,58.84,68.41,61.914,58.837,10,8,2,True
Michael Sellwood,GEN_DEF,60,1,0.75,58.6,59.1,58.973,58.6,73,70,3,True
Roan Steele,MID,60,1,0.75,56.03,60.07,59.059,56.032,14,11,3,True
Lance Collard,GEN_FWD,28,1,0.75,28.92,61.39,50.692,28.921,267,264,3,True
Jackson Mead,GEN_FWD,25,3,0.25,54.51,67.02,55.106,54.511,60,54,6,True
Luke Cleary,GEN_DEF,61,1,0.75,50.15,67.68,59.072,50.146,90,83,7,True
Zane Duursma,GEN_FWD,4,3,0.25,38.14,67.04,43.557,38.137,746,738,8,True
Harry Dean,KEY_DEF,3,1,0.75,56.6,57.55,57.31,56.6,2055,2046,9,True
Josh Goater,GEN_DEF,22,1,0.75,53.49,67.68,62.426,53.494,104,95,9,True
Callum Coleman-Jones,KEY_FWD,20,1,0.75,38.96,64.98,55.076,38.961,51,42,9,True
Lachlan Blakiston,KEY_DEF,60,2,0.5,53.44,59.13,56.287,53.443,22,12,10,True
Malcolm Rosas,GEN_FWD,82,3,0.25,56.5,67.02,57.216,56.495,86,76,10,True
Jackson Archer,GEN_DEF,59,1,0.75,41.31,67.68,54.205,41.315,87,76,11,True
Riley Garcia,GEN_FWD,62,1,0.75,60.31,67.02,63.004,60.307,161,150,11,True
Maurice Rioli,GEN_FWD,53,3,0.25,51.98,67.02,52.733,51.981,82,70,12,True
Jeremy Sharp,MID,27,3,0.25,55.29,79.24,56.86,55.292,109,96,13,True
James Trezise,GEN_DEF,60,1,0.75,60.25,65.85,62.799,60.247,176,162,14,True
Ned Long,MID,68,2,0.5,70.2,74.59,70.984,70.2,910,895,15,True
Jamarra Ugle-Hagan,KEY_FWD,1,3,0.25,48.75,66.18,48.751,48.751,187,172,15,True
Tom Brown,GEN_DEF,17,2,0.5,64.98,69.75,65.77,64.983,492,476,16,True
Mykelti Lefau,KEY_FWD,92,2,0.5,54.48,58.36,56.423,54.483,58,39,19,True
Brayden Cook,MID,26,2,0.5,72.7,79.79,74.07,72.704,754,735,19,True
Jack Hutchinson,MID,60,1,0.75,53.51,64.51,59.916,53.508,52,29,23,True
Caleb Graham,KEY_DEF,71,2,0.5,54.76,64.38,57.755,54.76,76,53,23,True
Toby Pink,KEY_DEF,99,2,0.5,55.1,64.38,58.38,55.101,40,17,23,True
Joel Amartey,KEY_FWD,98,3,0.25,56.49,64.39,57.141,56.488,143,119,24,True
Noah Long,GEN_FWD,57,2,0.5,39.9,63.27,46.578,39.901,278,251,27,True
Oscar Adams,GEN_DEF,51,1,0.75,43.79,67.68,57.39,43.788,106,76,30,True
Toby McMullin,GEN_FWD,34,2,0.5,38.81,63.27,46.088,38.808,209,177,32,True
Tyler Sonsie,MID,28,3,0.25,65.2,76.37,66.084,65.199,750,717,33,True
Josh Gibcus,KEY_DEF,9,1,0.75,51.88,62.57,57.534,51.882,280,246,34,True
James Borlase,KEY_DEF,92,1,0.75,62.55,64.38,63.456,62.554,487,452,35,True
Elliott Himmelberg,KEY_FWD,51,2,0.5,55.41,64.39,58.122,55.414,121,86,35,True
Robert Hansen,GEN_FWD,60,1,0.75,33.87,63.27,50.67,33.872,180,144,36,True
Harvey Harrison,GEN_FWD,52,1,0.75,45.15,66.1,57.074,45.145,96,60,36,True
Nikolas Cox,KEY_FWD,8,2,0.5,51.47,65.26,52.554,51.471,419,381,38,True
Harry Edwards,KEY_DEF,91,3,0.25,50.58,64.38,52.023,50.579,97,58,39,True
Steely Green,GEN_FWD,55,2,0.5,51.45,63.27,54.686,51.45,273,233,40,True
Harley Reid,MID,1,3,0.25,84.09,86.15,84.477,84.09,3594,3553,41,True
Deven Robertson,MID,22,2,0.5,69.55,80.16,71.636,69.554,294,253,41,True
Jesse Motlop,GEN_FWD,27,3,0.25,49.84,66.1,50.852,49.835,155,113,42,True
Hamish Davis,MID,65,1,0.75,56.3,60.07,59.126,56.299,937,893,44,True
Riley Hardeman,GEN_DEF,23,1,0.75,47.29,62.69,56.574,47.291,386,342,44,True
Mattaes Phillipou,MID,10,3,0.25,61.53,76.74,63.432,61.53,1056,1011,45,True
Ollie Lord,KEY_FWD,51,2,0.5,43.31,64.39,48.579,43.308,166,110,56,True
Neil Erasmus,MID,10,3,0.25,64.86,82.11,66.171,64.862,800,742,58,True
Elijah Hollands,GEN_FWD,7,1,0.75,66.84,72.67,68.277,66.84,927,866,61,True
Zac Taylor,GEN_FWD,44,2,0.5,56.41,66.1,58.853,56.408,357,293,64,True
Archer Day-Wicks,GEN_FWD,73,1,0.75,45.94,55.29,52.953,45.938,414,349,65,True
Lachlan Cowan,GEN_DEF,30,3,0.25,63.31,65.85,63.631,63.314,635,568,67,True
Jack Williams,KEY_FWD,57,3,0.25,50.95,61.46,51.993,50.949,558,491,67,True
Daniel Curtin,MID,8,1,0.75,69.91,73.58,71.971,69.908,2215,2147,68,True
Jack Carroll,MID,43,2,0.5,58.14,76.88,62.688,58.137,177,109,68,True
Isaac Keeler,KEY_FWD,44,1,0.75,40.05,61.46,53.619,40.05,438,368,70,True
Corey Warner,GEN_FWD,40,1,0.75,41.88,66.1,53.476,41.878,147,75,72,True
Kai Lohmann,GEN_FWD,20,3,0.25,60.08,67.92,60.569,60.08,464,391,73,True
Jonty Faull,KEY_FWD,14,2,0.5,36.91,55.7,46.304,36.912,1193,1115,78,True
Hugh Boxshall,MID,45,1,0.75,51.81,60.07,58.004,51.812,929,849,80,True
Luke Trainor,KEY_DEF,21,1,0.75,54.38,59.13,57.944,54.382,1479,1397,82,True
Calsher Dear,KEY_FWD,56,1,0.75,52.69,58.36,56.324,52.691,1092,1010,82,True
Tyrell Dewar,GEN_DEF,92,1,0.75,43.06,65.85,55.473,43.059,305,219,86,True
Leek Aleer,KEY_DEF,15,1,0.75,54.26,62.57,57.988,54.264,338,250,88,True
Rhett Bazzo,KEY_DEF,37,1,0.75,57.89,62.57,59.849,57.894,567,479,88,True
Christian Moraes,MID,38,1,0.75,51.31,60.07,57.88,51.314,989,900,89,True
Mitchell Edwards,RUC,32,1,0.75,50.8,55.45,53.946,50.8,1550,1453,97,True
Campbell Chesser,MID,14,2,0.5,58.57,78.52,63.334,58.57,552,448,104,True
Luke Nankervis,GEN_DEF,66,1,0.75,56.74,67.68,60.768,56.735,342,238,104,True
Xavier Lindsay,GEN_DEF,11,1,0.75,59.45,61.16,60.732,59.45,1445,1334,111,True
Sandy Brock,KEY_DEF,92,1,0.75,55.0,62.57,59.306,55.0,363,252,111,True
Harry Sharp,GEN_FWD,45,2,0.5,54.58,67.02,56.538,54.584,217,97,120,True
Josh Dolan,GEN_FWD,31,1,0.75,36.47,55.29,50.586,36.47,445,321,124,True
Tobie Travaglia,GEN_DEF,8,1,0.75,39.7,61.16,55.795,39.7,783,657,126,True
Latrelle Pickett,GEN_FWD,12,1,0.75,36.8,59.65,53.936,36.8,656,529,127,True
Joe Berry,GEN_FWD,15,2,0.5,55.83,57.66,56.744,55.826,1321,1193,128,True
Angus Sheldrick,MID,18,2,0.5,66.87,77.87,69.277,66.87,803,672,131,True
Ryan Angwin,MID,19,3,0.25,65.43,80.16,67.005,65.427,434,296,138,True
Thomas Sims,KEY_FWD,28,1,0.75,39.1,55.7,51.548,39.1,1089,949,140,True
Harvey Langford,MID,6,2,0.5,67.55,69.14,68.345,67.554,2525,2382,143,True
Jacob Konstanty,GEN_FWD,20,1,0.75,43.18,65.08,53.741,43.179,360,217,143,True
Sam Lalor,MID,1,1,0.75,74.48,81.72,79.907,74.482,3483,3335,148,True
Alex Davies,MID,17,1,0.75,67.58,80.16,70.815,67.582,599,449,150,True
Caleb Windsor,MID,7,3,0.25,59.25,73.58,61.933,59.246,1678,1526,152,True
Nate Caddy,KEY_FWD,10,3,0.25,55.92,59.23,56.75,55.923,1727,1565,162,True
Josh Draper,KEY_DEF,92,2,0.5,48.38,62.57,52.858,48.384,640,475,165,True
Arthur Jones,GEN_FWD,43,1,0.75,49.26,66.1,57.326,49.263,236,70,166,True
Archie May,KEY_FWD,60,1,0.75,49.51,55.11,53.709,49.506,382,210,172,True
Jhye Clark,MID,8,2,0.5,42.38,78.29,54.139,42.384,680,502,178,True
Jack Whitlock,KEY_FWD,33,1,0.75,49.55,55.7,54.16,49.548,1256,1069,187,True
Ty Gallop,KEY_FWD,42,1,0.75,50.5,55.11,53.958,50.5,1148,957,191,True
Josh Sinn,GEN_DEF,12,1,0.75,49.28,69.75,58.461,49.277,344,153,191,True
Elijah Hewett,MID,14,2,0.5,53.61,73.15,58.842,53.608,888,677,211,True
Bo Allan,GEN_DEF,16,1,0.75,51.2,61.16,58.67,51.201,1210,990,220,True
Caiden Cleary,GEN_FWD,24,1,0.75,52.04,61.39,57.676,52.04,740,509,231,True
Edward Allan,MID,19,1,0.75,52.61,72.5,63.446,52.613,726,469,257,True
Sam Marshall,MID,25,1,0.75,49.29,63.35,59.833,49.286,1125,810,315,True
Sid Draper,MID,4,1,0.75,23.3,70.09,58.389,23.3,1478,1161,317,True
Cooper Hynes,MID,20,1,0.75,43.69,63.35,58.433,43.687,1280,960,320,True
Ethan Read,KEY_FWD,9,1,0.75,47.54,59.23,55.352,47.541,1466,1132,334,True
Archer Reid,KEY_FWD,30,1,0.75,41.07,58.95,53.042,41.066,1088,754,334,True
Cooper Duff-Tytler,KEY_FWD,4,1,0.75,49.5,51.4,50.923,49.5,1834,1490,344,True
Samson Ryan,RUC,42,1,0.75,49.24,72.83,60.109,49.244,611,267,344,True
Jed Walter,KEY_FWD,3,2,0.5,47.29,59.23,53.263,47.294,1553,1207,346,True
Alix Tauru,KEY_DEF,10,1,0.75,45.17,59.13,55.64,45.167,1693,1340,353,True
Leo Lombard,GEN_FWD,9,1,0.75,54.77,60.94,59.399,54.769,1613,1238,375,True
Harry Rowston,MID,16,1,0.75,55.1,72.56,64.924,55.102,906,527,379,True
Samuel Grlj,MID,8,1,0.75,59.8,64.78,63.532,59.8,2528,2137,391,True
Isaac Kako,GEN_FWD,13,1,0.75,55.11,58.11,57.364,55.115,1604,1171,433,True
Zeke Uwland,GEN_DEF,2,1,0.75,44.7,68.7,62.698,44.7,2692,2166,526,True
